cluster_id,count,centroid_lat,centroid_lon,first_date,last_date,persistence_days,max_frp,avg_frp,max_priority,max_fusion,dominant_label,industrial_context,nearest_facility_name,nearest_facility_type,dist_to_industrial_km
C58,3,22.92569333333333,69.82334999999999,2026-08-25,2026-08-26,2,2.03,1.49,0.33,0.85,industrial_fire,Within known industrial zone,Unnamed industrial facility,Industrial area,0.15
C101,2,23.11914,70.083315,2026-08-26,2026-08-27,2,1.73,1.6,0.24,0.83,industrial_fire,Within known industrial zone,Unnamed industrial facility,Industrial area,0.8
C9,12,23.5581025,87.23902166666669,2026-08-25,2026-08-29,5,2.57,1.46,0.47,0.34,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial works,33.4
C59,3,23.615223333333333,86.79007333333334,2026-08-26,2026-08-26,1,3.56,2.86,0.27,0.19,industrial_fire,Adjacent to industrial zone,Unnamed industrial facility,Industrial area,4.87
C17,7,13.712188571428571,79.62054285714285,2026-08-26,2026-08-28,3,2.67,1.46,0.47,0.88,persistent_industrial_source,Within known industrial zone,Unnamed industrial facility,Industrial area,1.31
C102,2,15.00383,76.999625,2026-08-26,2026-08-26,1,4.52,2.6,0.42,0.02,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,302.85
C103,2,15.023245,78.01422500000001,2026-08-26,2026-08-27,2,2.22,1.67,0.32,0.2,insufficient_evidence,No nearby industrial zone,"APSRTC Bus Depot , Venkatagiri",Industrial area,208.03
C34,4,15.1696675,76.381675,2026-08-26,2026-08-27,2,1.39,0.99,0.27,0.24,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,370.97
C104,2,15.17339,76.78565499999999,2026-08-26,2026-08-28,3,1.18,1.0,0.22,0.2,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,331.56
C18,7,15.176277142857144,77.10131857142856,2026-08-26,2026-08-28,3,1.81,1.19,0.36,0.39,insufficient_evidence,No nearby industrial zone,"APSRTC Bus Depot , Venkatagiri",Industrial area,300.97
C105,2,15.30115,76.21867,2026-08-26,2026-08-26,1,0.8,0.74,0.11,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,392.85
C13,8,15.3360225,76.28219625,2026-08-25,2026-08-28,4,3.12,1.54,0.47,0.31,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,388.66
C24,5,18.683208,73.033826,2026-08-26,2026-08-26,1,2.8,1.84,0.27,0.39,industrial_fire,Within known industrial zone,JSW Ispat Steel Plant,Industrial area,1.14
C106,2,18.95705,73.94359499999999,2026-08-26,2026-08-26,1,2.58,2.41,0.23,0.02,insufficient_evidence,No nearby industrial zone,TATA Bhivpuri Hydroelectric Power Plant,Thermal power plant,51.73
C25,5,11.181104000000001,79.098582,2026-08-26,2026-08-28,3,2.46,1.34,0.48,0.39,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,177.8
C35,4,11.268445,80.00476499999999,2026-08-26,2026-08-28,3,1.56,1.23,0.3,0.23,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,138.15
C10,10,11.81412,77.919277,2026-08-26,2026-08-28,3,2.88,1.5,0.46,0.35,insufficient_evidence,No nearby industrial zone,"SIPCOT Mamandur, Cheyyar",Industrial area,214.01
C107,2,8.079155,81.34714500000001,2026-08-27,2026-08-27,1,5.76,4.69,0.37,0.0,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,508.99
C26,5,8.1528,81.328774,2026-08-27,2026-08-27,1,5.72,3.77,0.33,0.0,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,499.62
C36,4,8.185699999999999,81.21588,2026-08-27,2026-08-27,1,4.85,3.74,0.31,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,494.1
C108,2,8.537365000000001,77.95384,2026-08-27,2026-08-27,1,2.88,2.88,0.23,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,497.35
C109,2,8.898665000000001,80.48221000000001,2026-08-27,2026-08-27,1,9.27,7.42,0.41,0.03,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,402.51
C37,4,9.130655,77.844155,2026-08-27,2026-08-27,1,5.56,4.61,0.35,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,444.0
C38,4,9.150095,80.72457,2026-08-27,2026-08-28,2,71.88,36.35,0.46,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,377.55
C110,2,9.304715,78.814625,2026-08-27,2026-08-27,1,6.54,3.76,0.34,0.02,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,383.51
C111,2,9.42203,80.41814,2026-08-27,2026-08-28,2,5.18,3.68,0.31,0.03,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,342.98
C112,2,9.42852,80.367165,2026-08-26,2026-08-27,2,7.33,5.68,0.36,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,343.01
C39,4,9.456062500000002,80.4853025,2026-08-26,2026-08-27,2,10.63,5.04,0.38,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,340.99
C113,2,12.19774,79.717285,2026-08-27,2026-08-27,1,2.89,2.84,0.23,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,47.06
C60,3,26.631883333333334,70.38718,2026-08-27,2026-08-27,1,6.8,4.75,0.39,0.0,insufficient_evidence,No nearby industrial zone,Adhoi (Pasakayara),Thermal power plant,362.11
C61,3,27.730186666666665,68.73489,2026-08-27,2026-08-27,1,6.08,5.36,0.36,0.0,insufficient_evidence,No nearby industrial zone,Khisara,Thermal power plant,503.47
C62,3,31.397223333333333,72.43560000000001,2026-08-27,2026-08-27,1,6.59,6.02,0.36,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,482.69
C27,5,22.789532,86.202366,2026-08-25,2026-08-27,3,3.24,1.55,0.43,0.85,industrial_fire,Within known industrial zone,Tata Steel,Industrial area,0.52
C63,3,23.663996666666666,87.15736666666668,2026-08-25,2026-08-27,3,2.08,1.59,0.31,0.21,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,20.74
C114,2,23.68668,87.12185,2026-08-27,2026-08-29,3,3.21,1.81,0.44,0.2,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,16.67
C115,2,29.08415,88.01296500000001,2026-08-27,2026-08-28,2,2.79,2.13,0.34,0.26,insufficient_evidence,No nearby industrial zone,Tapovan,Thermal power plant,528.94
C28,5,29.463952,76.86926000000001,2026-08-25,2026-08-27,3,7.66,3.8,0.45,0.07,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,54.67
C40,4,9.49657,77.6193725,2026-08-27,2026-08-29,3,4.45,1.66,0.3,0.11,insufficient_evidence,No nearby industrial zone,"SIPCOT Mamandur, Cheyyar",Industrial area,421.77
C116,2,11.110045,77.76637,2026-08-27,2026-08-27,1,1.12,0.78,0.19,0.01,insufficient_evidence,No nearby industrial zone,"SIPCOT Mamandur, Cheyyar",Industrial area,272.75
C64,3,15.844263333333332,79.77378333333333,2026-08-27,2026-08-27,1,3.7,2.1,0.34,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,209.26
C41,4,15.9892025,78.4023825,2026-08-26,2026-08-28,3,2.89,2.27,0.33,0.2,insufficient_evidence,No nearby industrial zone,"APSRTC Bus Depot , Venkatagiri",Industrial area,261.29
C42,4,17.4638275,80.6528375,2026-08-27,2026-08-28,2,2.91,2.01,0.37,0.22,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,152.48
C65,3,8.305563333333334,77.63869333333334,2026-08-27,2026-08-27,1,2.34,1.67,0.25,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,535.48
C66,3,8.408846666666667,80.75669666666666,2026-08-27,2026-08-27,1,1.51,0.76,0.15,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,459.95
C67,3,13.39335,80.10136666666666,2026-08-27,2026-08-27,1,2.51,1.73,0.29,0.37,industrial_fire,Within known industrial zone,Unnamed industrial facility,Industrial area,0.91
C117,2,15.33378,76.24683999999999,2026-08-26,2026-08-27,2,0.78,0.72,0.18,0.21,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,391.47
C20,6,8.710698333333333,77.97424833333334,2026-08-28,2026-08-28,1,19.0,7.18,0.51,0.03,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,478.94
C118,2,8.726355,80.74835,2026-08-28,2026-08-28,1,7.24,6.94,0.36,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,424.97
